medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Silver,"Barrel Select - FO/BB","Captain Lawrence Brewing Co.",Elmsford,NY,"Belgian-Style Lambic or Sour Ale",2012,"-73.8143 41.0541",41.0541,-73.8143,GABF
Bronze,"Sans Pagaie","The Bruery",Anaheim,CA,"Belgian-Style Lambic or Sour Ale",2012,"-117.8573 33.839",33.839,-117.8573,GABF
Gold,Deceit,Funkwerks,"Fort Collins",CO,"Belgian-Style Strong Specialty Ale",2012,"-105.0651 40.5475",40.5475,-105.0651,GABF
Silver,Rhinoceros,"Telegraph Brewing Co.","Santa Barbara",CA,"Belgian-Style Strong Specialty Ale",2012,"-119.7202 34.4285",34.4285,-119.7202,GABF
Bronze,"AleSmith Grand Cru","AleSmith Brewing Co.","San Diego",CA,"Belgian-Style Strong Specialty Ale",2012,"-117.1225 32.8312",32.8312,-117.1225,GABF
Gold,ZON,"Boulevard Brewing Co.","Kansas City",MO,"Belgian-Style Witbier",2012,"-94.5541 39.1239",39.1239,-94.5541,GABF
Silver,"White Rascal","Avery Brewing Co.",Boulder,CO,"Belgian-Style Witbier",2012,"-105.2523 40.0249",40.0249,-105.2523,GABF
Bronze,"White Lightning Belgian White","Full Pint Brewing Co.","North Versailles",PA,"Belgian-Style Witbier",2012,,,,GABF
Gold,"Butt Head Bock","Tommyknocker Brewery","Idaho Springs",CO,Bock,2012,"-105.5 39.7445",39.7445,-105.5,GABF
Silver,"Elixer Maibock","Mad Fox Brewing Co.","Falls Church",VA,Bock,2012,"-77.1751 38.8847",38.8847,-77.1751,GABF
Bronze,"Turbo Cougar","Devils Backbone Brewing Co. - Outpost",Lexington,VA,Bock,2012,"-79.444 37.7825",37.7825,-79.444,GABF
Gold,"Hometown Blonde","New Glarus Brewing Co.","New Glarus",WI,"Bohemian-Style Pilsener",2012,"-89.6337 42.813",42.813,-89.6337,GABF
Silver,"Summit Pilsener","Summit Brewing Co.","St. Paul",MN,"Bohemian-Style Pilsener",2012,"-93.104 44.9477",44.9477,-93.104,GABF
Bronze,"This is the Pilsener","Hoppers Grill & Brewing Co.",Midvale,UT,"Bohemian-Style Pilsener",2012,"-111.8928 40.6148",40.6148,-111.8928,GABF
Gold,"Pluff Mud Porter","Holy City Brewing","North Charleston",SC,"Brown Porter",2012,"-80.0722 32.9067",32.9067,-80.0722,GABF
Silver,Exodus,"SweetWater Brewing Co.",Atlanta,GA,"Brown Porter",2012,"-84.4225 33.7627",33.7627,-84.4225,GABF
Bronze,"Peter Brown Tribute Ale","Bear Republic Brewing Co. Factory Five",Cloverdale,CA,"Brown Porter",2012,"-123.0154 38.7962",38.7962,-123.0154,GABF
Gold,"Cocoa for Coconuts","Chicago Brewing Co.","Las Vegas",NV,"Chocolate Beer",2012,"-115.2654 36.2333",36.2333,-115.2654,GABF
Silver,"X - 1","DuClaw Brewing Co.","Bel Air",MD,"Chocolate Beer",2012,"-76.346 39.5348",39.5348,-76.346,GABF
Bronze,"Milk Chocolate Cherry Stout","Il Vicino Brewing Co.",Albuquerque,NM,"Chocolate Beer",2012,"-106.6464 35.1053",35.1053,-106.6464,GABF
Gold,"Royal Scandal","Peticolas Brewing Co.",Dallas,TX,"Classic English-Style Pale Ale",2012,"-96.7662 32.7936",32.7936,-96.7662,GABF
Silver,"Gayle Force Pale Ale","Wind River Brewing Co.",Pinedale,WY,"Classic English-Style Pale Ale",2012,"-109.8707 42.8676",42.8676,-109.8707,GABF
Bronze,"Hurricane Reef Pale Ale","Florida Beer Co.",Melbourne,FL,"Classic English-Style Pale Ale",2012,"-80.6627 28.1085",28.1085,-80.6627,GABF
Gold,"Seaside Stout","Pizza Port Solana Beach","Solana Beach",CA,"Classic Irish-Style Dry Stout",2012,"-117.2575 32.9942",32.9942,-117.2575,GABF
Silver,"Oyster Stout","Stewart's Brewing Co.",Bear,DE,"Classic Irish-Style Dry Stout",2012,"-75.6804 39.6188",39.6188,-75.6804,GABF
Bronze,"Ramsey's Draft Stout","Devils Backbone Brewing Co. - Basecamp",Roseland,VA,"Classic Irish-Style Dry Stout",2012,,,,GABF
Gold,"Smog City Groundwork Coffee Porter","Tustin Brewing Co.",Tustin,CA,"Coffee Beer",2012,"-117.8106 33.7309",33.7309,-117.8106,GABF
Silver,"Hazelnut Coffee Cream Stout","Redwood Brewing Co.",Flint,MI,"Coffee Beer",2012,"-83.6922 43.0235",43.0235,-83.6922,GABF
Bronze,"Big Shot Espresso Stout","Twisted Pine Brewing Co.",Boulder,CO,"Coffee Beer",2012,"-105.2523 40.0249",40.0249,-105.2523,GABF
Gold,"Move Back","The SandLot",Denver,CO,"Dortmunder or German-Style Oktoberfest",2012,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"Rolling Thunder Dortmunder","Snake River Brewing",Jackson,WY,"Dortmunder or German-Style Oktoberfest",2012,"-110.7745 43.4721",43.4721,-110.7745,GABF
Bronze,"Celestial Gold","The Church Brew Works",Pittsburgh,PA,"Dortmunder or German-Style Oktoberfest",2012,"-79.9763 40.4396",40.4396,-79.9763,GABF
Gold,"Sierra Blanca Nut Brown Ale","Sierra Blanca Brewing Co.",Moriarty,NM,"English-Style Brown Ale",2012,"-106.046 35.0052",35.0052,-106.046,GABF
Silver,"Red Hydrant Ale","Big Dog's Brewing Co.","Las Vegas",NV,"English-Style Brown Ale",2012,"-115.2654 36.2333",36.2333,-115.2654,GABF
Bronze,"Molly's Titanic Brown Ale","Rock Bottom Westminster",Westminster,CO,"English-Style Brown Ale",2012,"-105.0624 39.8837",39.8837,-105.0624,GABF
