medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Silver,"Eight-Ball Cream Stout","River Market Brewing Co.","Kansas City",MO,"Sweet Stout",1998,"-94.5541 39.1239",39.1239,-94.5541,GABF
Bronze,"Grainbarrel Stout","Elk Grove Brewery and Restaurant","Elk Grove",CA,"Sweet Stout",1998,"-121.384 38.416",38.416,-121.384,GABF
Gold,"Wagner Valley Dockside Amber Lager","Wagner Brewing Co.",Lodi,NY,"Vienna Style Lager",1998,"-76.8225 42.6135",42.6135,-76.8225,GABF
Silver,"Rattlesnake Kate's Vienna Lager","Union Colony Brewery",Greeley,CO,"Vienna Style Lager",1998,"-104.7705 40.4151",40.4151,-104.7705,GABF
Bronze,"Acadian Vienna Amber","Acadian Brewing Co.","New Orleans",LA,"Vienna Style Lager",1998,"-89.9288 30.0687",30.0687,-89.9288,GABF
Gold,"TAPS Cream Ale","TAPS Fish House & Brewery",Brea,CA,"American Cream Ale or Lager",2005,"-117.8654 33.9254",33.9254,-117.8654,GABF
Silver,"Genesee Cream Ale","High Falls Brewing Co.",Rochester,NY,"American Cream Ale or Lager",2005,"-77.6162 43.168",43.168,-77.6162,GABF
Bronze,"Special Export","Pabst Brewing Co.","San Antonio",TX,"American Cream Ale or Lager",2005,"-98.5254 29.4658",29.4658,-98.5254,GABF
Gold,"Sam Adams Light","Boston Beer Co.",Boston,MA,"American-Style ""Light"" Amber Lager",2005,"-71.0846 42.3188",42.3188,-71.0846,GABF
Silver,"MoJo Lager","Starr Hill Brewing Co.",Crozet,VA,"American-Style ""Light"" Amber Lager",2005,"-78.6962 38.0645",38.0645,-78.6962,GABF
Bronze,"Shiner Light","Spoetzl Brewery (The)","San Antonio",TX,"American-Style ""Light"" Amber Lager",2005,"-98.5254 29.4658",29.4658,-98.5254,GABF
Gold,"Amber Waves Ale","Capitol City Brewing Co.",Arlington,VA,"American-Style Amber / Red Ale",2005,"-77.1011 38.8786",38.8786,-77.1011,GABF
Silver,"Sunset Amber Ale","Oggi's Pizza & Brewing Co.","San Clemente",CA,"American-Style Amber / Red Ale",2005,"-117.6103 33.4498",33.4498,-117.6103,GABF
Bronze,"Hoppus Maximus","Thirsty Dog Brewing Co.",Independence,OH,"American-Style Amber / Red Ale",2005,"-81.6385 41.378",41.378,-81.6385,GABF
Gold,"Old Scratch Amber Lager","Flying Dog Brewery",Denver,CO,"American-Style Amber Lager",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"Steam Engine Lager","Steamworks Brewing Co.",Durango,CO,"American-Style Amber Lager",2005,"-107.8703 37.2744",37.2744,-107.8703,GABF
Bronze,"California Lager","Morgan Territory Brewing",Antioch,CA,"American-Style Amber Lager",2005,"-121.7957 37.9789",37.9789,-121.7957,GABF
Gold,"Bitch Creek ESB","Grand Teton Brewing Co.",Victor,ID,"American-Style Brown Ale",2005,"-111.1107 43.6014",43.6014,-111.1107,GABF
Silver,"Doryman's Dark Ale","Pelican Pub & Brewery","Pacific City",OR,"American-Style Brown Ale",2005,"-123.9536 45.2054",45.2054,-123.9536,GABF
Bronze,"Ellie's Brown Ale","Avery Brewing Co.",Boulder,CO,"American-Style Brown Ale",2005,"-105.2523 40.0249",40.0249,-105.2523,GABF
Gold,"Leinenkugel's Creamy Dark","Jacob Leinenkugel Brewing Co.","Chippewa Falls",WI,"American-Style Dark Lager",2005,"-91.3902 44.9359",44.9359,-91.3902,GABF
Silver,"Shiner Bock","Spoetzl Brewery (The)","San Antonio",TX,"American-Style Dark Lager",2005,"-98.5254 29.4658",29.4658,-98.5254,GABF
Bronze,"Darth's Dark Lager","Redrock Brewing Co.",Flint,MI,"American-Style Dark Lager",2005,"-83.6922 43.0235",43.0235,-83.6922,GABF
Gold,"Easy Street Wheat","Odell Brewing Co.","Fort Collins",CO,"American-Style Hefeweizen",2005,"-105.0651 40.5475",40.5475,-105.0651,GABF
Silver,"Faller Wheat Ale","Rock Bottom Brewery - Seattle",Seattle,WA,"American-Style Hefeweizen",2005,"-122.3244 47.6211",47.6211,-122.3244,GABF
Bronze,"O'Fallon Wheat","O'Fallon Brewery",O'Fallon,MO,"American-Style Hefeweizen",2005,"-90.7177 38.7851",38.7851,-90.7177,GABF
Gold,"Castle Rock IPA","Santa Barbara Brewing Co.","Santa Barbara",CA,"American-Style India Pale Ale",2005,"-119.7202 34.4285",34.4285,-119.7202,GABF
Silver,"Torrey Pines IPA","Oggi's Pizza & Brewing Co.","San Clemente",CA,"American-Style India Pale Ale",2005,"-117.6103 33.4498",33.4498,-117.6103,GABF
Bronze,I.P.A.,"AleSmith Brewing Co.","San Diego",CA,"American-Style India Pale Ale",2005,"-117.1225 32.8312",32.8312,-117.1225,GABF
Gold,Stag,"Pabst Brewing Co.","San Antonio",TX,"American-Style Lager",2005,"-98.5254 29.4658",29.4658,-98.5254,GABF
Silver,Rainier,"Pabst Brewing Co.","San Antonio",TX,"American-Style Lager",2005,"-98.5254 29.4658",29.4658,-98.5254,GABF
Bronze,"Milwaukee's Best","Miller Brewing Co.",Milwaukee,WI,"American-Style Lager",2005,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Old Milwaukee Light","Pabst Brewing Co.","San Antonio",TX,"American-Style Light Lager",2005,"-98.5254 29.4658",29.4658,-98.5254,GABF
Silver,"Coors Light","Coors Brewing Co.",Golden,CO,"American-Style Light Lager",2005,"-105.2118 39.7406",39.7406,-105.2118,GABF
Bronze,"Keystone Light","Coors Brewing Co.",Golden,CO,"American-Style Light Lager",2005,"-105.2118 39.7406",39.7406,-105.2118,GABF
Gold,"Pig's Eye Lean Light Beer","Pig's Eye Brewing Co.","Saint Paul",MN,"American-Style Low-Carbohydrate Light Lager",2005,,,,GABF
Bronze,"Mountain Light","Smoky Mountain Brewery",Knoxville,TN,"American-Style Low-Carbohydrate Light Lager",2005,"-83.9496 35.9692",35.9692,-83.9496,GABF
Gold,"Pale Nectar","Firestone Walker Brewing Co.","Paso Robles",CA,"American-Style Pale Ale",2005,,,,GABF
Silver,"Oak Creek Pale Ale","Oak Creek Brewing Co.",Sedona,AZ,"American-Style Pale Ale",2005,"-111.7951 34.8574",34.8574,-111.7951,GABF
Bronze,"Ironbound Ale","Iron Hill Brewery & Restaurant #1",Wilmington,DE,"American-Style Pale Ale",2005,"-75.5413 39.7415",39.7415,-75.5413,GABF
Gold,"Pabst Blue Ribbon","Pabst Brewing Co.","San Antonio",TX,"American-Style Premium Lager",2005,"-98.5254 29.4658",29.4658,-98.5254,GABF
Silver,Olympia,"Pabst Brewing Co.","San Antonio",TX,"American-Style Premium Lager",2005,"-98.5254 29.4658",29.4658,-98.5254,GABF
Bronze,"Miller High Life","Miller Brewing Co.",Milwaukee,WI,"American-Style Premium Lager",2005,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Barmen Pilsner","Sandlot Brewery at Coors Field",Denver,CO,"American-Style Specialty Lager",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"Melvis Easly's Special Lager","Sandlot Brewery at Coors Field",Denver,CO,"American-Style Specialty Lager",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Ice House","Miller Brewing Co.",Milwaukee,WI,"American-Style Specialty Lager",2005,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Shakespeare Stout","Rogue Ales",Newport,OR,"American-Style Stout",2005,"-124.0524 44.6231",44.6231,-124.0524,GABF
Silver,"Black Magic Stout","Oggi's Pizza & Brewing Co.","San Clemente",CA,"American-Style Stout",2005,"-117.6103 33.4498",33.4498,-117.6103,GABF
Bronze,"Pipeline Stout","Moose's Tooth Brewing Co.",Anchorage,AK,"American-Style Stout",2005,"-149.1091 61.1508",61.1508,-149.1091,GABF
Gold,Dysfunctionale,"Piece Brewery",Chicago,IL,"American-Style Strong Pale Ale",2005,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,Racer,"Bear Republic Brewing Co.",Healdsburg,CA,"American-Style Strong Pale Ale",2005,"-122.8651 38.6229",38.6229,-122.8651,GABF
Bronze,"Hoptical Illusion","Blue Point Brewing Co.",Patchogue,NY,"American-Style Strong Pale Ale",2005,"-73.0185 40.7621",40.7621,-73.0185,GABF
Gold,"Triumph Honey Wheat","Triumph Brewing Co. of New Hope","New Hope",PA,"American-Style Wheat Beer",2005,"-74.9574 40.3616",40.3616,-74.9574,GABF
Silver,"Pyramid Crystal Weizen","Pyramid Alehouse/Breweries Inc",Seattle,WA,"American-Style Wheat Beer",2005,"-122.3244 47.6211",47.6211,-122.3244,GABF
Bronze,"Shiner Dunkelweizen","Spoetzl Brewery (The)","San Antonio",TX,"American-Style Wheat Beer",2005,"-98.5254 29.4658",29.4658,-98.5254,GABF
Gold,"Sierra Nevada Bigfoot Barley-Wine Style Ale","Sierra Nevada Brewing Co.",Chico,CA,"Barley Wine-Style Ale",2005,"-121.8152 39.7575",39.7575,-121.8152,GABF
Silver,"Hot Pot","Glenwood Canyon Brewing Co.","Glenwood Springs",CO,"Barley Wine-Style Ale",2005,"-107.3347 39.5455",39.5455,-107.3347,GABF
Bronze,"Old Ruffian Barley Wine","Great Divide Brewing Co.",Denver,CO,"Barley Wine-Style Ale",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,Matilda,"Goose Island Beer Co.",Chicago,IL,"Belgian- and French-Style Ale",2005,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,"Biere de Garde","Capitol City Brewing Co.",Arlington,VA,"Belgian- and French-Style Ale",2005,"-77.1011 38.8786",38.8786,-77.1011,GABF
Bronze,"Oro de Calabaza","Jolly Pumpkin Artisan Ales",Dexter,MI,"Belgian- and French-Style Ale",2005,"-83.8802 42.332",42.332,-83.8802,GABF
Gold,"Abbot 12","Southampton Publick House",Southampton,NY,"Belgian-Style Abbey Ale",2005,"-72.4004 40.8778",40.8778,-72.4004,GABF
Silver,"Tripel de Ripple","Brugge Brasserie",Indianapolis,IN,"Belgian-Style Abbey Ale",2005,"-86.1458 39.7771",39.7771,-86.1458,GABF
Bronze,"Abbey Belgian Style Ale","New Belgium Brewing Co.","Fort Collins",CO,"Belgian-Style Abbey Ale",2005,"-105.0651 40.5475",40.5475,-105.0651,GABF
Gold,"Kriek De Hill","Iron Hill Brewery & Restaurant #3",Wilmington,DE,"Belgian-Style Sour Ale",2005,"-75.5413 39.7415",39.7415,-75.5413,GABF
Silver,Supplication,"Russian River Brewing Co.","Santa Rosa",CA,"Belgian-Style Sour Ale",2005,"-122.7067 38.4458",38.4458,-122.7067,GABF
Bronze,Gueuze-Lambic,"Upstream Brewing Co.",Omaha,NE,"Belgian-Style Sour Ale",2005,"-96.0498 41.2628",41.2628,-96.0498,GABF
Gold,"Belgian Strong","Iron Hill Brewery & Restaurant #3",Wilmington,DE,"Belgian-Style Strong Specialty Ale",2005,"-75.5413 39.7415",39.7415,-75.5413,GABF
Silver,"Belgian Abbey Ale","Maui Brewing Co./Fish & Game Rotisserie",Lahaina,HI,"Belgian-Style Strong Specialty Ale",2005,"-156.6618 20.8848",20.8848,-156.6618,GABF
Bronze,"Grand Cru","Allagash Brewing Co.",Portland,ME,"Belgian-Style Strong Specialty Ale",2005,"-70.2715 43.6773",43.6773,-70.2715,GABF
Gold,"White Beer","Allagash Brewing Co.",Portland,ME,"Belgian-Style White (or Wit) / Belgian-Style Wheat",2005,"-70.2715 43.6773",43.6773,-70.2715,GABF
Silver,"Alabaster Wit","Oaken Barrel Brewing Co.",Greenwood,IN,"Belgian-Style White (or Wit) / Belgian-Style Wheat",2005,"-86.1073 39.6019",39.6019,-86.1073,GABF
Bronze,"Nit Wit","BJ's Restaurant & Brewery",Chandler/Boulder,AZ,"Belgian-Style White (or Wit) / Belgian-Style Wheat",2005,,,,GABF
Gold,"Alaskan Boogie Bitter","Alaskan Brewing and Bottling Co.",Juneau,AK,Bitter,2005,"-134.1739 58.4546",58.4546,-134.1739,GABF
Silver,"Firehouse ESB","Upstream Brewing Co.",Omaha,NE,Bitter,2005,"-96.0498 41.2628",41.2628,-96.0498,GABF
Bronze,"Saint Arnold Amber Ale","Saint Arnold Brewing Co.",Houston,TX,Bitter,2005,"-95.3905 29.7869",29.7869,-95.3905,GABF
Gold,"Mad Brewer Maibock","Church Brew Works",Pittsburg,PA,Bock,2005,,,,GABF
Silver,"Goat Rancher","Sandlot Brewery at Coors Field",Denver,CO,Bock,2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"J.W. Dundee's Pale Bock","High Falls Brewing Co.",Rochester,NY,Bock,2005,"-77.6162 43.168",43.168,-77.6162,GABF
Gold,"Pallavicini Pilsner","Pug Ryan's Brewery",Dillon,CO,"Bohemian Style Pilsener",2005,"-106.0386 39.621",39.621,-106.0386,GABF
Silver,"Triumph Czech Pilsener","Triumph Brewing Co. of Princeton",Princeton,NJ,"Bohemian Style Pilsener",2005,"-74.6693 40.3563",40.3563,-74.6693,GABF
Bronze,"Vermont Lager","Otter Creek Brewing/Wolaver's Organic Ales",Middlebury,VT,"Bohemian Style Pilsener",2005,,,,GABF
Gold,"Lasto's Oatmeal Stout","BJ's Restaurant & Brewery","Jantzen Beach/Lloyd Center/Clear Lake",OR,"British Stout",2005,,,,GABF
Silver,"Oatmeal Stout","Gella's Diner and Lb. Brewing Co.",Hays,KS,"British Stout",2005,"-99.3219 38.8816",38.8816,-99.3219,GABF
Bronze,"Black Pearl Stout","Main Street Brewery",Corona,CA,"British Stout",2005,"-117.5641 33.862",33.862,-117.5641,GABF
Gold,"Our Porter","Long Valley Pub and Brewery","Long Valley",NJ,"Brown Porter",2005,"-74.7777 40.7825",40.7825,-74.7777,GABF
Silver,"Old Grind Porter","Etna Brewing Co.",Etna,CA,"Brown Porter",2005,"-122.8946 41.4582",41.4582,-122.8946,GABF
Bronze,"Prince William Porter","Moose's Tooth Brewing Co.",Anchorage,AK,"Brown Porter",2005,"-149.1091 61.1508",61.1508,-149.1091,GABF
Gold,"Copper Hill Kölsch","Cambridge House Brewpub (The)",Granby,CT,"Cellar or Unfiltered Beer",2005,,,,GABF
Silver,"Honolua Lager","Maui Brewing Co./Fish & Game Rotisserie",Lahaina,HI,"Cellar or Unfiltered Beer",2005,"-156.6618 20.8848",20.8848,-156.6618,GABF
Bronze,"Tuppers' Hop Pocket Pils","Old Dominion Brewing Co.",Ashburn,VA,"Cellar or Unfiltered Beer",2005,"-77.4711 39.03",39.03,-77.4711,GABF
Gold,"Michelob Pale Ale","Anheuser-Busch, Inc","Saint Louis",MO,"Classic English Style Pale Ale",2005,,,,GABF
Silver,"5 Barrel Pale Ale","Odell Brewing Co.","Fort Collins",CO,"Classic English Style Pale Ale",2005,"-105.0651 40.5475",40.5475,-105.0651,GABF
Bronze,"Samuel Adams Pale Ale","Boston Beer Co.",Boston,MA,"Classic English Style Pale Ale",2005,"-71.0846 42.3188",42.3188,-71.0846,GABF
Gold,"Dark Starr Stout","Starr Hill Brewing Co.",Crozet,VA,"Classic Irish-Style Dry Stout",2005,"-78.6962 38.0645",38.0645,-78.6962,GABF
Silver,"Seaside Stout","Pizza Port - Solana Beach","Solana Beach",CA,"Classic Irish-Style Dry Stout",2005,"-117.2575 32.9942",32.9942,-117.2575,GABF
Bronze,"Sacrilicious Stout","Rochester Mills Beer Co.",Rochester,MI,"Classic Irish-Style Dry Stout",2005,"-83.1197 42.6866",42.6866,-83.1197,GABF
Gold,"Kona Moon","Six Rivers Brewery",McKinleyville,CA,"Coffee Flavored Beer",2005,"-124.0857 40.9489",40.9489,-124.0857,GABF
Silver,"Double Espresso Stout","Barley Brothers Brewery","Lake Havasu City",AZ,"Coffee Flavored Beer",2005,"-114.3113 34.5006",34.5006,-114.3113,GABF
Bronze,"Arctic Rhino Coffee Porter","Midnight Sun Brewing Co.",Anchorage,AK,"Coffee Flavored Beer",2005,"-149.1091 61.1508",61.1508,-149.1091,GABF
Gold,"Nut Brown Ale","Long Valley Pub and Brewery","Long Valley",NJ,"English-Style Brown Ale",2005,"-74.7777 40.7825",40.7825,-74.7777,GABF
Silver,"Alice B. Brownie","Big Horn Brewing Co./CB-Potts",Westminster,CO,"English-Style Brown Ale",2005,"-105.0624 39.8837",39.8837,-105.0624,GABF
Bronze,"Dawn Patrol Dark","Pizza Port - Carlsbad",Carlsbad,CA,"English-Style Brown Ale",2005,"-117.2837 33.1247",33.1247,-117.2837,GABF
Gold,"Sierra Nevada IPA","Sierra Nevada Brewing Co.",Chico,CA,"English-Style India Pale Ale",2005,"-121.8152 39.7575",39.7575,-121.8152,GABF
Silver,"Squatters IPA","Utah Brewers Cooperative","Salt Lake City",UT,"English-Style India Pale Ale",2005,"-111.93 40.7774",40.7774,-111.93,GABF
Bronze,1800,"Minneapolis Town Hall Brewery",Minneapolis,MN,"English-Style India Pale Ale",2005,"-93.2678 44.9635",44.9635,-93.2678,GABF
Gold,"Colorado Trail English Ale","Backcountry Brewery",Frisco,CO,"English-Style Summer Ale",2005,"-106.0918 39.5793",39.5793,-106.0918,GABF
Silver,"Sandbagger Gold","Montana Brewing Co.",Billings,MT,"English-Style Summer Ale",2005,"-108.5509 45.7889",45.7889,-108.5509,GABF
Bronze,"Green Flash Extra Pale Ale","Green Flash Brewing Co.",Vista,CA,"English-Style Summer Ale",2005,"-117.2386 33.1896",33.1896,-117.2386,GABF
Gold,"Munich Dark","Capital Brewery Co. Inc",Middleton,WI,"European-Style Dark / Munchner Dunkel",2005,"-89.5058 43.1064",43.1064,-89.5058,GABF
Silver,"Triumph Dunkel","Triumph Brewing Co. of New Hope","New Hope",PA,"European-Style Dark / Munchner Dunkel",2005,"-74.9574 40.3616",40.3616,-74.9574,GABF
Bronze,"Black Mountain","Barley's Casino & Brewing Co.",Henderson,NV,"European-Style Dark / Munchner Dunkel",2005,"-115.0362 36.0146",36.0146,-115.0362,GABF
Gold,"Pine Mountain Pils","Deschutes Brewery",Bend,OR,"European-Style Pilsener",2005,"-121.3087 44.0562",44.0562,-121.3087,GABF
Silver,"Most Beer Judges Are Bone Heads","Sandlot Brewery at Coors Field",Denver,CO,"European-Style Pilsener",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Pilsner - 500","Prescott Brewing Co.",Prescott,AZ,"European-Style Pilsener",2005,"-112.4475 34.585",34.585,-112.4475,GABF
Gold,"Mexacali Smoke","Rocky River Brewing Co.","Rocky River",OH,"Experimental Beer (Lager or Ale)",2005,"-81.8526 41.4703",41.4703,-81.8526,GABF
Silver,"ESG Extra Special Gonzo","Flying Dog Brewery",Denver,CO,"Experimental Beer (Lager or Ale)",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Samuel Adams Millennium","Boston Beer Co.",Boston,MA,"Experimental Beer (Lager or Ale)",2005,"-71.0846 42.3188",42.3188,-71.0846,GABF
Gold,"Boscos XXX Pale Ale","Boscos Brewing Co.",Memphis/Nashville,TN,"Extra Special Bitter or Strong Bitter",2005,,,,GABF
Silver,"Alaskan ESB","Alaskan Brewing and Bottling Co.",Juneau,AK,"Extra Special Bitter or Strong Bitter",2005,"-134.1739 58.4546",58.4546,-134.1739,GABF
Bronze,"Tinderstick ESB","Big Time Brewing Co.",Seattle,WA,"Extra Special Bitter or Strong Bitter",2005,"-122.3244 47.6211",47.6211,-122.3244,GABF
Gold,"Black Bear XX Stout","Alameda Brewing Co.",Portland,OR,"Foreign (Export)-Style Stout",2005,"-122.65 45.5371",45.5371,-122.65,GABF
Silver,"Organic Chocolate Stout","Bison Brewing Co.",Berkeley,CA,"Foreign (Export)-Style Stout",2005,"-122.276 37.8723",37.8723,-122.276,GABF
Bronze,"Black Hole XXX Stout","Chelsea Brewing Co.","New York",NY,"Foreign (Export)-Style Stout",2005,"-73.9249 40.6943",40.6943,-73.9249,GABF
Gold,"Saison de Brooklyn","Brooklyn Brewery (The)",Brooklyn,NY,"French-Belgian Style Saison",2005,"-73.9496 40.6501",40.6501,-73.9496,GABF
Silver,"Southampton Saison","Southampton Publick House",Southampton,NY,"French-Belgian Style Saison",2005,"-72.4004 40.8778",40.8778,-72.4004,GABF
Bronze,"Stillwater Rye","Montana Brewing Co.",Billings,MT,"French-Belgian Style Saison",2005,"-108.5509 45.7889",45.7889,-108.5509,GABF
Gold,"Belgian Red","New Glarus Brewing Co.","New Glarus",WI,"Fruit And Vegetable Beer",2005,"-89.6337 42.813",42.813,-89.6337,GABF
Silver,"9th Street Market Tuscan Orange","Anheuser-Busch, Inc","Saint Louis",MO,"Fruit And Vegetable Beer",2005,,,,GABF
Bronze,"De Zuidentrein Frambozenbier","Flossmoor Station Brewing Co.",Flossmoor,IL,"Fruit And Vegetable Beer",2005,"-87.6857 41.5391",41.5391,-87.6857,GABF
Gold,"Devon Altbier","John Harvard's Brew House #2",Springfield,PA,"German-Style Brown Ale / Dusseldorf-Style Altbier",2005,,,,GABF
Silver,"Green Flash Ruby Red Ale","Green Flash Brewing Co.",Vista,CA,"German-Style Brown Ale / Dusseldorf-Style Altbier",2005,"-117.2386 33.1896",33.1896,-117.2386,GABF
Bronze,"Dusseldorf Altbier","Gilded Otter Brewing Co.","New Paltz",NY,"German-Style Brown Ale / Dusseldorf-Style Altbier",2005,"-74.0809 41.7495",41.7495,-74.0809,GABF
Gold,"Bottom's Up Kölsch","Rock Bottom Brewery - Campbell",Campbell,CA,"German-Style Kolsch / Koln-Style Kolsch",2005,"-121.9538 37.2801",37.2801,-121.9538,GABF
Silver,"Claire de Lune","Moon River Brewing Co.",Savannah,GA,"German-Style Kolsch / Koln-Style Kolsch",2005,"-81.1785 32.0281",32.0281,-81.1785,GABF
Bronze,"Kentucky Light","Alltech's Lexington Brewing Co.",Lexington,KY,"German-Style Kolsch / Koln-Style Kolsch",2005,"-84.4587 38.0423",38.0423,-84.4587,GABF
Gold,"Michelob Marzen","Anheuser-Busch, Inc","Saint Louis",MO,"German-Style Maerzen / Oktoberfest",2005,,,,GABF
Silver,"Sudwerk Marzen","Sudwerk Privatbrauerei Hubsch",Davis,CA,"German-Style Maerzen / Oktoberfest",2005,"-121.7365 38.5552",38.5552,-121.7365,GABF
Bronze,"Dogtoberfest Octoberfest","Flying Dog Brewery",Denver,CO,"German-Style Maerzen / Oktoberfest",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,"Pinch Hit Pilsner","Sandlot Brewery at Coors Field",Denver,CO,"German-Style Pilsener",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"Trumer Pils","Trumer Brauerei Berkeley",Berkeley,CA,"German-Style Pilsener",2005,"-122.276 37.8723",37.8723,-122.276,GABF
Bronze,"Triumph German Pilsener","Triumph Brewing Co. of New Hope","New Hope",PA,"German-Style Pilsener",2005,"-74.9574 40.3616",40.3616,-74.9574,GABF
Gold,"E.J. Phair Schwarzbier","E.J. Phair Brewing Co.",Concord,CA,"German-Style Schwarzbier",2005,"-122.0016 37.9722",37.9722,-122.0016,GABF
Silver,"Kings Peak","Uinta Brewing Co.","Salt Lake City",UT,"German-Style Schwarzbier",2005,"-111.93 40.7774",40.7774,-111.93,GABF
Bronze,Schwarzbier,"Hereford & Hops Brewpub",Wausau,WI,"German-Style Schwarzbier",2005,"-89.6457 44.9615",44.9615,-89.6457,GABF
Gold,"Samuel Adams Double Bock","Boston Beer Co.",Boston,MA,"German-Style Strong Bock",2005,"-71.0846 42.3188",42.3188,-71.0846,GABF
Silver,"Sled Dog Doppel Bock","Wagner Valley Brewing Co.",Lodi,NY,"German-Style Strong Bock",2005,"-76.8225 42.6135",42.6135,-76.8225,GABF
Bronze,"Detonator Doppelbock","Big Horn Brewing Co./RAM - Indianapolis",Indianapolis,IN,"German-Style Strong Bock",2005,"-86.1458 39.7771",39.7771,-86.1458,GABF
Gold,"Boscos Hefeweizen","Boscos Brewing Co.",Memphis/Nashville,TN,"German-Style Wheat Ale",2005,,,,GABF
Silver,Weizenbock,"Chicago Brewing Co.","Las Vegas",NV,"German-Style Wheat Ale",2005,"-115.2654 36.2333",36.2333,-115.2654,GABF
Bronze,"Ich Bin Ein Berliner Weisse","Nodding Heading Brewing Co.",Philadelphia,PA,"German-Style Wheat Ale",2005,"-75.1339 40.0077",40.0077,-75.1339,GABF
Gold,"Kiwanda Cream Ale","Pelican Pub & Brewery","Pacific City",OR,"Golden or Blonde Ale",2005,"-123.9536 45.2054",45.2054,-123.9536,GABF
Silver,"Boscos Famous Flaming Stone Beer","Boscos Little Rock Brewing Co.","Little Rock",AR,"Golden or Blonde Ale",2005,"-92.358 34.7255",34.7255,-92.358,GABF
Bronze,"All Nighter","Chicago Brewing Co.","Las Vegas",NV,"Golden or Blonde Ale",2005,"-115.2654 36.2333",36.2333,-115.2654,GABF
Gold,"Temptation Bock","Miller Brewing Co.",Milwaukee,WI,"Herb and Spice Beer",2005,"-87.9673 43.0642",43.0642,-87.9673,GABF
Silver,"Jack Whacker Wheat","Tommyknocker Brewery","Idaho Springs",CO,"Herb and Spice Beer",2005,"-105.5 39.7445",39.7445,-105.5,GABF
Bronze,"Avatar Jasmine IPA","Elysian Brewing Co.",Seattle,WA,"Herb and Spice Beer",2005,"-122.3244 47.6211",47.6211,-122.3244,GABF
Gold,"Pliny the Elder","Russian River Brewing Co.","Santa Rosa",CA,"Imperial or Double India Pale Ale",2005,"-122.7067 38.4458",38.4458,-122.7067,GABF
Silver,"Hop 15","Pizza Port - Solana Beach","Solana Beach",CA,"Imperial or Double India Pale Ale",2005,"-117.2575 32.9942",32.9942,-117.2575,GABF
Bronze,"Eldridge Grade White Knuckle Double IPA","Marin Brewing Co.",Larkspur,CA,"Imperial or Double India Pale Ale",2005,"-122.5313 37.9394",37.9394,-122.5313,GABF
Gold,"Shark Attack","Pizza Port - Solana Beach","Solana Beach",CA,"Imperial or Double Red Ale",2005,"-117.2575 32.9942",32.9942,-117.2575,GABF
Silver,"Tongue Buckler","Ballast Point Brewing Co.","San Diego",CA,"Imperial or Double Red Ale",2005,"-117.1225 32.8312",32.8312,-117.1225,GABF
Bronze,"Imperial Red","Eugene City Brewery",Eugene,OR,"Imperial or Double Red Ale",2005,"-123.1173 44.0563",44.0563,-123.1173,GABF
Gold,"Siberian Night","Thirsty Dog Brewing Co.",Independence,OH,"Imperial Stout",2005,"-81.6385 41.378",41.378,-81.6385,GABF
Silver,"Yeti Imperial Stout","Great Divide Brewing Co.",Denver,CO,"Imperial Stout",2005,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Got Rocks Russian","Big Rock Chop House",Birmingham,MI,"Imperial Stout",2005,"-83.2166 42.5447",42.5447,-83.2166,GABF
Gold,"Irish Red","Diamond Bear Brewing Co.","Little Rock",AR,"Irish-Style Red Ale",2005,"-92.358 34.7255",34.7255,-92.358,GABF
Silver,"Amber Ale","Starr Hill Brewing Co.",Crozet,VA,"Irish-Style Red Ale",2005,"-78.6962 38.0645",38.0645,-78.6962,GABF
Bronze,"Cleary Red","Hereford & Hops Brewpub",Wausau,WI,"Irish-Style Red Ale",2005,"-89.6457 44.9615",44.9615,-89.6457,GABF
Gold,"Hauptstrasse Helles","Fredericksburg Brewing Co.",Fredericksburg,TX,"Munchner-Style Helles",2005,"-98.8757 30.2671",30.2671,-98.8757,GABF
Silver,"Saint Arnold Summer Pils","Saint Arnold Brewing Co.",Houston,TX,"Munchner-Style Helles",2005,"-95.3905 29.7869",29.7869,-95.3905,GABF
Bronze,"Sudwerk Lager","Sudwerk Privatbrauerei Hubsch",Davis,CA,"Munchner-Style Helles",2005,"-121.7365 38.5552",38.5552,-121.7365,GABF
Gold,"O'Doul's Amber","Anheuser-Busch, Inc","Saint Louis",MO,"Non-Alcoholic (Beer) Malt Beverage",2005,,,,GABF
